City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Grindavik,75,IS,1562700991,15.56,4.6,63.84,-22.43,58
Axim,100,GH,1562700991,24.08,3.76,4.87,-2.24,90
Gambela,6,ET,1562700991,18.88,2.05,8.25,34.59,77
Karratha,99,AU,1562700991,19.38,2.69,-20.74,116.85,38
Santa Luzia,0,BR,1562700991,21,4.6,-19.77,-43.85,42
Peleduy,24,RU,1562700992,15.88,1.38,59.63,112.75,85
Cabo San Lucas,5,MX,1562700730,36.11,5.1,22.89,-109.91,29
Saint-Augustin,90,CA,1562700992,31.11,7.7,45.63,-73.98,35
Manado,20,ID,1562700992,23,1,1.49,124.85,94
Ahipara,0,NZ,1562700992,14.48,5.66,-35.17,173.16,72
Riyadh,0,SA,1562700992,36,2.6,24.63,46.72,8
Freeport,40,BS,1562700992,31,4.6,26.54,-78.7,66
Deputatskiy,4,RU,1562700993,17.68,1.23,69.3,139.9,76
Daia,0,RO,1562700993,20.56,1,43.99,25.99,56
College,40,US,1562700993,26.67,3.1,64.86,-147.8,38
Lorengau,99,PG,1562700993,25.18,2.5,-2.02,147.27,85
Salalah,75,OM,1562700993,29,2.1,17.01,54.1,83
Soe,10,EE,1562700993,13,4.1,57.91,26.05,93
La Ronge,75,CA,1562700993,16,5.1,55.1,-105.3,63
Kieta,100,PG,1562700994,25.68,0.51,-6.22,155.63,82
Lae,77,PG,1562700994,20.88,0.29,-6.72,146.98,94
Saint-Francois,0,FR,1562700994,24,3.1,46.42,3.91,31
Red Bluff,1,US,1562700994,28.89,2.6,40.18,-122.24,42
Olinda,33,AU,1562700994,11.11,4.6,-37.84,145.39,81
Lata,100,IN,1562700994,8.58,1.41,30.78,78.62,99
Mount Isa,90,AU,1562700994,19,6.2,-20.73,139.49,42
Hermanus,0,ZA,1562700994,14.44,6.63,-34.42,19.24,97
Nizwa,85,OM,1562700995,28.58,0.97,22.93,57.53,31
Margate,75,AU,1562700995,10.56,4.6,-43.03,147.26,70
Benghazi,0,LY,1562700995,27.28,4.93,32.12,20.07,71
Klaksvik,20,FO,1562700995,10,8.7,62.23,-6.59,76
Leningradskiy,74,RU,1562700995,11.18,3.51,69.38,178.42,69
Qaqortoq,75,GL,1562700995,19,8.7,60.72,-46.03,24
Vanavara,0,RU,1562700995,13.48,1.07,60.35,102.28,74
Berdigestyakh,100,RU,1562700996,17.08,1.86,62.1,126.7,89
Portree,100,GB,1562701049,13.33,3.13,57.41,-6.19,97
East London,75,ZA,1562701050,15,3.1,-33.02,27.91,87
Belaya Gora,4,RU,1562701050,22.18,1.37,68.54,146.19,58
Stykkisholmur,43,IS,1562701050,10.18,0.77,65.08,-22.73,83
Monclova,40,MX,1562701050,36,3.6,26.9,-101.42,23
Verkhnevilyuysk,70,RU,1562701050,19.68,0.68,63.45,120.31,74
Maxixe,0,MZ,1562701050,17,1.02,-23.86,35.35,88
Crotone,64,IT,1562701050,26.78,2.77,39.09,17.12,48
Ponta do Sol,0,BR,1562701051,14.98,2.37,-20.63,-46,56
Alice Springs,0,AU,1562701051,6,2.6,-23.7,133.88,45
Yerofey Pavlovich,0,RU,1562701051,13.48,1.52,53.97,121.97,91
Cherskiy,8,RU,1562701051,23.48,3.98,68.75,161.3,42
Novyy Urengoy,89,RU,1562701051,9.38,2.26,66.08,76.63,67
Codrington,90,AU,1562701051,9,2.6,-28.95,153.24,93
Moree,40,AU,1562701052,4,3.1,-29.46,149.84,93
Bambous Virieux,40,MU,1562701052,22,2.6,-20.34,57.76,88
Bambanglipuro,8,ID,1562701052,22.28,2.55,-7.95,110.28,85
Torbay,75,CA,1562701052,22.22,8.2,47.66,-52.73,49
Namatanai,84,PG,1562701052,24.88,0.98,-3.66,152.44,79
Half Moon Bay,75,US,1562701052,23.33,6.2,37.46,-122.43,68
Murdochville,74,CA,1562700780,14.18,5.94,48.96,-65.49,55
Broome,75,GB,1562701053,19,4.1,52.47,1.45,77
Agua Branca,33,BR,1562701053,26.68,1.91,-5.89,-42.63,55
Atasu,0,KZ,1562701053,17.38,2.23,48.68,71.64,59
Gat,0,SN,1562701053,30,5.1,14.69,-16.54,51
Pevek,34,RU,1562701053,7.98,3.57,69.7,170.27,71
Khatanga,100,RU,1562701053,9.58,2.59,71.98,102.47,88
Thompson,40,CA,1562700864,23,2.1,55.74,-97.86,43
Oeiras,2,BR,1562701054,27.58,1.62,-7.01,-42.13,44
Hobyo,100,SO,1562701054,25.68,10.92,5.35,48.53,74
Luderitz,0,NA,1562701054,19,1.5,-26.65,15.16,34
Sebastian,90,US,1562700904,31.11,5.1,27.82,-80.47,83
Broken Hill,0,AU,1562701054,7,4.1,-31.97,141.45,75
Tazovskiy,50,RU,1562700904,5.48,2.84,67.47,78.7,80
Novokuznetsk,0,RU,1562701054,15.08,0.93,53.76,87.14,87
Bandarbeyla,1,SO,1562701054,25.88,12.27,9.49,50.81,72
Saint-Philippe,40,CA,1562701055,31.11,3.6,45.36,-73.48,39
Georgetown,40,GY,1562701055,30,4.1,6.8,-58.16,79
Santa Isabel do Rio Negro,16,BR,1562701055,27.28,1.42,-0.41,-65.02,83
Ukiah,1,US,1562700807,27.22,2.1,39.15,-123.21,36
El Banco,100,CO,1562701055,30.58,2.02,9,-73.97,64
Tres Arroyos,0,AR,1562701055,11.08,2.4,-38.38,-60.28,67
Adrar,0,DZ,1562701055,44,2.6,27.87,-0.29,6
Touros,40,BR,1562701109,28,5.1,-5.2,-35.46,69
Lander,20,US,1562701110,22.78,2.6,42.83,-108.73,37
Mount Gambier,0,AU,1562701110,9,7.2,-37.83,140.78,81
Vostok,100,RU,1562701110,17.48,0.51,46.45,135.83,83
Chokurdakh,94,RU,1562701110,20.98,3.41,70.62,147.9,46
Minab,0,IR,1562701110,34,1.5,27.15,57.07,75
San Ramon de la Nueva Oran,0,AR,1562701110,22.28,1.87,-23.13,-64.33,38
Barcelos,22,BR,1562701111,25.98,1.49,-0.97,-62.93,95
Kanker,100,IN,1562701111,24.68,4.7,20.27,81.49,85
Rawson,0,AR,1562701111,10.68,3.31,-43.3,-65.11,57
Tuatapere,100,NZ,1562701111,3.89,0.45,-46.13,167.69,97
Arlit,64,NE,1562701111,36.58,1.86,18.74,7.39,18
Zhigansk,34,RU,1562701112,17.38,4.31,66.77,123.37,91
Tautira,20,PF,1562701112,26,2.1,-17.73,-149.15,74
Puerto Madryn,0,AR,1562701001,10.58,0.89,-42.77,-65.04,59
Rome,0,IT,1562701065,28,4.1,41.89,12.48,65
Wajima,0,JP,1562701112,22.18,3.78,37.4,136.9,82
Gouyave,20,GD,1562701112,30,8.2,12.16,-61.73,79
Bilibino,25,RU,1562701112,20.28,2.71,68.06,166.44,41
Kupang,0,ID,1562701112,23.78,7.08,-10.16,123.6,73
Ewa Beach,40,US,1562701112,31,4.6,21.32,-158.01,83
Riberalta,20,BO,1562701113,32,2.1,-11,-66.08,46
Shitanjing,0,CN,1562701113,20.68,5.51,39.23,106.34,39
Cody,90,US,1562701113,21.11,6.7,44.53,-109.06,55
Zhucheng,0,CN,1562701113,23,2,30.85,114.8,88
Saurimo,5,AO,1562701113,15.98,2.42,-9.66,20.4,26
Santa Cruz del Sur,100,CU,1562701113,28.28,3.45,20.71,-78,77
Kamenka,36,MD,1562701113,12.78,2.64,48.03,28.7,73
Numan,92,NG,1562701114,22.58,1.62,9.46,12.04,94
Mulege,0,MX,1562701114,31.88,3.84,26.88,-111.98,47
Portland,40,US,1562701114,31.11,3.6,43.66,-70.25,33
Kafanchan,100,NG,1562701114,20.48,1.27,9.58,8.3,94
Natal,20,BR,1562701114,28,7.2,-5.81,-35.21,65
Koltubanovskiy,100,RU,1562701114,17.58,0.53,52.94,52.03,97
Luau,15,CD,1562701114,15.58,0.7,-10.7,22.23,28
Neuruppin,0,DE,1562701114,16.67,3.1,52.92,12.81,59
Hamilton,90,CA,1562700914,28.33,2.6,43.26,-79.87,44
Khuzhir,92,RU,1562701115,13.98,0.82,53.19,107.35,62
Kazanka,0,UA,1562701115,17,3,47.83,32.83,72
Palmer,0,AU,1562701115,10.56,4.6,-34.85,139.16,76
Tabou,100,CI,1562701115,23.08,2.47,4.42,-7.36,84
Baykit,69,RU,1562701115,11.78,1.27,61.68,96.39,79
Bilma,47,NE,1562701115,35.78,3.59,18.69,12.92,18
Maraa,44,BR,1562701115,26.48,0.64,-1.83,-65.37,90
Sechura,15,PE,1562701116,18.68,6.6,-5.56,-80.82,84
Oistins,40,BB,1562701116,31,9.3,13.07,-59.53,62
Sampit,73,ID,1562701169,22.78,0.26,-2.54,112.95,97
Two Rivers,1,US,1562701170,30.56,5.1,44.15,-87.57,54
Camacupa,0,AO,1562701170,11.28,1.02,-12.02,17.48,24
Airai,1,TL,1562701170,19.28,2.12,-8.93,125.41,78
Galeana,0,MX,1562701170,27.18,6.94,24.83,-100.08,22
Sobolevo,63,RU,1562701170,10.08,3.22,54.43,31.9,95
Ulladulla,0,AU,1562701170,8.89,5.1,-35.36,150.48,81
Jupiter,1,US,1562700973,35,5.1,26.93,-80.09,52
Akdepe,0,TM,1562701171,29,3.1,42.05,59.39,35
San Juan,91,AR,1562701152,9.88,1.78,-31.54,-68.53,42
Asyut,0,EG,1562701171,31,5.1,27.18,31.19,31
Provideniya,0,RU,1562701171,22,5,64.42,-173.23,43
Brynmawr,90,GB,1562701171,21.11,3.6,51.8,-3.17,72
San Patricio,0,PY,1562701171,17.68,1.97,-26.98,-56.83,84
Saint Augustine,40,TT,1562701171,29.44,4.6,10.65,-61.4,83
Haines Junction,96,CA,1562701171,19.98,2.07,60.75,-137.51,31
Seoul,40,KR,1562700947,22,1,37.57,126.98,68
Baherden,53,TM,1562701172,27.98,2.98,38.44,57.43,24
Mossendjo,10,CG,1562701172,20.48,1.4,-2.95,12.72,86
Lahij,99,YE,1562701172,35.48,2.37,13.06,44.88,36
Le Vauclin,75,MQ,1562701172,30,9.3,14.55,-60.84,74
Saint George,40,GR,1562701172,31.11,0.9,39.45,22.34,51
Flinders,0,AU,1562701172,10,5.1,-34.58,150.85,81
Mazagao,40,BR,1562701172,28,2.6,-0.12,-51.29,83
Marsa Matruh,40,EG,1562701173,26,4.1,31.35,27.25,88
Marzuq,89,YE,1562701173,28.58,3.14,14.4,46.47,30
Bulawayo,0,ZW,1562701173,13.28,4.92,-20.16,28.59,54
Yining,82,CN,1562701173,18.98,0.32,29.04,114.56,98
Pingliang,0,CN,1562701173,9.98,2.16,35.54,106.68,80
Bethanien,0,NA,1562701173,10.48,2.7,-26.5,17.16,36
Pennagaram,100,IN,1562701173,24.08,3.32,12.13,77.9,67
Bad Hofgastein,40,AT,1562701173,17,1.5,47.17,13.11,63
Selma,6,US,1562701174,36.67,4.1,32.41,-87.02,47
Goderich,83,CA,1562701159,28.33,2.68,43.74,-81.71,45
Esperance,40,AU,1562701174,9,6.2,-33.86,121.89,93
Tulungagung,0,ID,1562701174,18.28,1.85,-8.06,111.9,93
Hay River,75,CA,1562701174,13,5.1,60.82,-115.79,62
Sisimiut,53,GL,1562701174,4.28,4.21,66.94,-53.67,94
Chegdomyn,100,RU,1562701174,17.98,0.96,51.13,133.04,95
Pangody,100,RU,1562701175,6.18,3.34,65.85,74.49,80
Kulhudhuffushi,100,MV,1562701175,28.78,4.41,6.62,73.07,79
Nanortalik,100,GL,1562701175,8.08,2.12,60.14,-45.24,66
Forest,1,US,1562701175,37,1.5,32.36,-89.47,52
Port Hardy,75,CA,1562701149,15,2.1,50.7,-127.42,82
Rio Gallegos,90,AR,1562701175,4,1.5,-51.62,-69.22,100
Muzhi,99,RU,1562701175,10.38,2.89,65.4,64.7,82
Sorland,20,NO,1562701176,13,4.1,67.67,12.69,82
Sao Filipe,60,CV,1562701229,23.08,8.44,14.9,-24.5,82
Lasa,0,CY,1562701230,27,3.6,34.92,32.53,83
Kysyl-Syr,76,RU,1562701230,18.78,0.66,63.9,122.77,88
Makakilo City,40,US,1562701226,31,4.6,21.35,-158.09,83
Xining,42,CN,1562701230,5.38,1.46,36.62,101.77,88
Viedma,0,AR,1562701230,11.08,2.65,-40.81,-62.99,63
Marck,0,FR,1562701230,18.33,2.6,50.95,1.95,63
Hermon,5,AM,1562701230,10.78,1.96,39.88,45.43,76
Cidreira,60,BR,1562701230,12.68,2.35,-30.17,-50.22,83
Nhamunda,75,BR,1562701231,28.28,1.16,-2.19,-56.71,75
Conceicao do Araguaia,28,BR,1562701231,29.58,1.87,-8.26,-49.26,42
Kyshtovka,16,RU,1562701231,10.38,3.6,56.56,76.62,96
Loandjili,75,CG,1562701231,24,1.5,-4.77,11.87,88
Heihe,20,RU,1562701231,20,1,50.24,127.51,94
Aksaray,0,TR,1562700975,26,5.1,38.37,34.03,34
Angoche,19,MZ,1562701231,18.48,1.99,-16.23,39.91,88
Salgueiro,84,BR,1562701231,24.28,7.7,-8.07,-39.12,68
Nabire,100,ID,1562701232,20.58,1.47,-3.36,135.5,99
Eyl,68,SO,1562701232,25.88,12.62,7.98,49.82,67
Coahuayana,24,MX,1562701232,33.88,0.71,18.62,-100.35,50
Balabac,87,PH,1562701232,26.98,1.44,7.99,117.06,73
Yichang,0,CN,1562701232,15.58,1.74,30.77,111.32,89
Pringsewu,78,ID,1562701232,21.58,1.11,-5.36,104.98,96
Nara,67,JP,1562701232,23.33,2.6,34.68,135.8,88
Khandagayty,2,MN,1562701232,11.48,2.01,50.73,92.07,74
Yarada,100,IN,1562701233,26.58,9.39,17.65,83.27,87
Merauke,67,ID,1562701007,25.08,8.11,-8.49,140.4,79
Matagami,100,NG,1562701233,20.48,1.27,9.67,8.4,94
Achim,0,DE,1562701233,17.22,3.1,52.06,10.61,55
Aberdeen,75,US,1562701233,22.22,1.5,46.98,-123.82,82
Lilongwe,0,MW,1562701228,16,4.1,-13.97,33.79,36
Jackville,20,CI,1562701233,25,4.6,5.21,-4.42,88
Langsa,90,ID,1562701233,20.88,1.14,4.47,97.97,96
Yumen,43,CN,1562701234,20.78,7.13,40.29,97.04,32
Yulara,0,AU,1562701234,7,3.6,-25.24,130.99,48
Cabedelo,20,BR,1562701234,27,5.7,-6.97,-34.84,74
Oussouye,40,SN,1562701234,31,5.69,12.49,-16.54,70
Honningsvag,75,NO,1562701234,7,6.7,70.98,25.97,93
Hovd,0,NO,1562701234,15,3.6,63.83,10.7,77
Mildura,0,AU,1562701234,7,3.6,-34.18,142.16,87
Bjelovar,20,HR,1562701235,19,0.5,45.9,16.84,77
Zaoyang,0,CN,1562701235,19.78,1.27,32.12,112.76,79
Vestmannaeyjar,100,IS,1562701235,12.28,9.04,63.44,-20.27,71
Ust-Maya,94,RU,1562701289,18.58,4,60.42,134.54,76
Vredendal,0,ZA,1562701290,16.78,4.11,-31.68,18.49,73
Saint-Georges,80,CA,1562701290,26.11,2.24,46.12,-70.67,38
Yuxia,40,CN,1562701290,19,2,34.06,108.63,93
Wahiawa,75,US,1562701241,31,3.1,21.5,-158.02,78
